chr	start	end	avg.rate_GCB	avg.rate_FL	avg.rate_BL
chr1	2559918	2560043	0.310556	0.448681	0.566528
chr1	2575345	2575909	0.720769	0.660096	0.401026
chr1	2766598	2766720	0.6675	0.641806	0.255185
chr1	2747718	2748390	0.623333	0.526667	0.304944
chr1	2346865	2347097	0.603889	0.520278	0.231204
chr1	2865978	2866472	0.856371	0.817298	0.314059
chr1	2866920	2868075	0.754479	0.700677	0.209236
chr1	2706076	2706856	0.286094	0.47005	0.601278
chr1	2219311	2219403	0.823056	0.746389	0.472315
chr1	2239059	2239349	0.346667	0.622361	0.700093
chr1	2817477	2817728	0.492778	0.427222	0.0973148
chr1	2821441	2822013	0.759167	0.635694	0.398519
chr1	2826409	2827021	0.538889	0.444444	0.212963
chr1	1819179	1820048	0.765606	0.698409	0.457854
chr1	1824051	1824405	0.681944	0.669722	0.350324
chr1	1825861	1826284	0.662778	0.525833	0.15787
chr1	1826500	1826517	0.8725	0.722083	0.202315
chr1	1826557	1827361	0.584559	0.542647	0.217451
chr1	1828081	1828897	0.690786	0.595143	0.24381
chr1	1828951	1829588	0.537833	0.478667	0.139333
chr1	1836718	1836967	0.83	0.722778	0.520833
chr1	1839212	1839371	0.721136	0.609375	0.363939
chr1	2898779	2899016	0.689722	0.569028	0.35463
chr1	2899139	2899260	0.835	0.685417	0.282389
chr1	2891768	2892148	0.654444	0.527361	0.323704
chr1	1234492	1234746	0.684545	0.518864	0.208333
chr1	1235917	1235983	0.801389	0.673056	0.40787
chr1	1237396	1237612	0.707778	0.574306	0.27713
chr1	1244850	1245941	0.572466	0.555051	0.159223
chr1	1244850	1245941	0.572466	0.555051	0.159223
chr1	1247469	1247742	0.801731	0.767212	0.478718
chr1	1261222	1262005	0.612625	0.407313	0.101417
chr1	1261222	1262005	0.612625	0.407313	0.101417
chr1	1668845	1669440	0.805581	0.784913	0.384225
chr1	1670446	1670758	0.716705	0.677443	0.381932
chr1	1688124	1688200	0.569167	0.608889	0.838148
chr1	2935006	2935312	0.6325	0.544583	0.293426
chr1	2932079	2932407	0.659773	0.52	0.355227
chr1	3071900	3072266	0.212845	0.398017	0.521695
chr1	2304835	2305074	0.736818	0.645455	0.389318
chr1	2309255	2309417	0.675	0.557083	0.24537
chr1	2319317	2320045	0.543807	0.67358	0.811004
chr1	2319317	2320045	0.543807	0.67358	0.811004
chr1	2989293	2989468	0.500536	0.652232	0.744226
chr1	2990093	2990130	0.205962	0.436923	0.479487
chr1	2990267	2990620	0.208043	0.456766	0.557373
chr1	3089076	3089544	0.600577	0.726154	0.161218
chr1	2949613	2949960	0.753125	0.419167	0.245833
chr1	3020051	3020228	0.715278	0.600972	0.339907
chr1	3021306	3021867	0.665357	0.542054	0.344345
chr1	3175578	3175792	0.713269	0.5575	0.387628
chr1	3262325	3262790	0.665	0.512361	0.335926
chr1	1603255	1603503	0.500208	0.689271	0.737986
chr1	1605862	1606305	0.803875	0.744312	0.373375
chr1	1606317	1606835	0.702963	0.705741	0.357253
chr1	1612782	1612926	0.803611	0.762639	0.492685
chr1	1628249	1629056	0.659722	0.610833	0.330556
chr1	2794394	2794722	0.707778	0.597639	0.355833
chr1	2795631	2795817	0.723393	0.654911	0.389107
chr1	2796567	2797510	0.681167	0.565833	0.377167
chr1	2800031	2800126	0.641875	0.499167	0.278958
chr1	2810923	2811555	0.805074	0.705735	0.468995
chr1	3290050	3290251	0.411389	0.601111	0.688611
chr1	3292924	3293411	0.598864	0.473295	0.262121
chr1	3061530	3062142	0.571121	0.469095	0.207557
chr1	2269787	2269912	0.699167	0.619861	0.357963
chr1	2273828	2273896	0.689722	0.577778	0.356667
chr1	2278921	2279095	0.668333	0.585833	0.281019
chr1	2281867	2282245	0.685833	0.473889	0.331111
chr1	2288950	2289154	0.760278	0.636111	0.386759
chr1	3225933	3226459	0.711389	0.587361	0.396019
chr1	3227886	3228509	0.78825	0.716937	0.469167
chr1	3229630	3229915	0.114911	0.284554	0.490476
chr1	3229921	3230203	0.218846	0.333365	0.455641
chr1	2995533	2995649	0.391389	0.550833	0.714907
chr1	3007052	3007519	0.718437	0.577031	0.370208
chr1	3008736	3008985	0.715227	0.555341	0.405076
chr1	3388778	3389148	0.685	0.552054	0.284583
chr1	3390096	3390169	0.834444	0.63875	0.507685
chr1	3239992	3240140	0.29125	0.451563	0.581528
chr1	3250602	3250750	0.551944	0.431944	0.176481
chr1	3032450	3032733	0.725441	0.644338	0.391275
chr1	3328611	3328654	0.840625	0.745833	0.519306
chr1	2025416	2025590	0.768056	0.679722	0.460926
chr1	3580306	3580820	0.707222	0.574861	0.393241
chr1	3580306	3580820	0.707222	0.574861	0.393241
chr1	1950937	1950957	0.125625	0.336042	0.408403
chr1	1950999	1951159	0.114148	0.352273	0.352367
chr1	1951162	1951264	0.162321	0.355759	0.477381
chr1	1964303	1964604	0.661944	0.508611	0.3175
chr1	1556737	1556922	0.728333	0.614688	0.371389
chr1	1562902	1563318	0.692734	0.591641	0.318594
chr1	3305518	3305759	0.593611	0.495	0.270741
chr1	3308406	3308522	0.720556	0.431667	0.331111
chr1	3309662	3310499	0.160844	0.356185	0.407532
chr1	3310539	3310598	0.189881	0.498571	0.634921
chr1	2981324	2982062	0.661944	0.509583	0.271852
chr1	2984218	2984436	0.192619	0.386964	0.497341
chr1	2984218	2984436	0.192619	0.386964	0.497341
chr1	2984759	2984830	0.140227	0.383807	0.434318
chr1	2984759	2984830	0.140227	0.383807	0.434318
chr1	2985618	2985646	0.0558333	0.346528	0.29037
chr1	2985618	2985646	0.0558333	0.346528	0.29037
chr1	2987246	2987277	0.109821	0.388839	0.540595
chr1	2987285	2987463	0.107713	0.319548	0.354716
chr1	2987511	2987611	0.221959	0.470541	0.607568
chr1	2987712	2987823	0.203625	0.496875	0.552875
chr1	3584879	3585554	0.641094	0.425078	0.139427
chr1	3584879	3585554	0.641094	0.425078	0.139427
chr1	3585581	3586127	0.625625	0.440795	0.302822
chr1	3585581	3586127	0.625625	0.440795	0.302822
chr1	3588054	3588228	0.397976	0.498869	0.68869
chr1	3760788	3761475	0.890893	0.821161	0.465774
chr1	2122952	2123408	0.781176	0.664779	0.400735
chr1	2130173	2130334	0.721389	0.510833	0.357685
chr1	3367819	3368999	0.617692	0.5225	0.214295
chr1	3376644	3376748	0.642222	0.491667	0.291389
chr1	3379147	3379391	0.635833	0.501806	0.285926
chr1	3809209	3809785	0.732672	0.765431	0.259655
chr1	3345661	3345773	0.682778	0.570139	0.267778
chr1	3346079	3346351	0.568056	0.456389	0.260463
chr1	3346505	3346903	0.663833	0.544583	0.336556
chr1	3349170	3349645	0.6075	0.449231	0.270385
chr1	3593159	3593426	0.072	0.261	0.306667
chr1	3602578	3602745	0.794722	0.665139	0.418148
chr1	3602827	3603083	0.769444	0.54125	0.393981
chr1	3604965	3605088	0.101944	0.266806	0.391481
chr1	3098219	3098853	0.523889	0.692222	0.799907
chr1	3100452	3100969	0.418636	0.662557	0.653409
chr1	3103196	3103321	0.736591	0.649886	0.341591
chr1	3109844	3110130	0.753611	0.581667	0.421944
chr1	3110731	3111461	0.771731	0.673846	0.458077
chr1	4088003	4088730	0.526111	0.647917	0.151574
chr1	4103662	4104687	0.691346	0.595385	0.350321
chr1	3123830	3123864	0.446111	0.658611	0.688148
chr1	4107882	4108327	0.426875	0.408333	0.0901389
chr1	4108330	4108590	0.623214	0.550179	0.216349
chr1	3652840	3652974	0.575556	0.740278	0.863519
chr1	4175658	4175843	0.81	0.732692	0.471218
chr1	4227907	4227956	0.801667	0.676667	0.339259
chr1	4273283	4273806	0.503929	0.559643	0.117579
chr1	4236747	4238039	0.715515	0.649632	0.40348
chr1	4111476	4111663	0.874167	0.815	0.548241
chr1	4112860	4114005	0.800469	0.754219	0.393958
chr1	4118104	4119497	0.667222	0.580729	0.295
chr1	4370467	4372041	0.791172	0.727773	0.123151
chr1	3201373	3201484	0.764318	0.609659	0.440682
chr1	4482844	4483124	0.764286	0.613571	0.179226
chr1	4557515	4557959	0.6125	0.432222	0.190833
chr1	2157200	2157313	0.777857	0.669911	0.425298
chr1	4549405	4549947	0.593654	0.583269	0.230128
chr1	3818199	3823044	0.830823	0.730008	0.263841
chr1	3818199	3823044	0.830823	0.730008	0.263841
chr1	3824574	3825526	0.683167	0.56775	0.353333
chr1	3567273	3567661	0.109556	0.393871	0.380847
chr1	3567273	3567661	0.109556	0.393871	0.380847
chr1	3567673	3567739	0.178068	0.49517	0.570152
chr1	3567673	3567739	0.178068	0.49517	0.570152
chr1	3567852	3567946	0.201389	0.53375	0.620617
chr1	3567852	3567946	0.201389	0.53375	0.620617
chr1	3573212	3573853	0.0795192	0.219087	0.367468
chr1	4652852	4653091	0.672222	0.604306	0.265648
chr1	4654609	4654802	0.681944	0.537639	0.232778
chr1	4656790	4657086	0.568889	0.47875	0.210185
chr1	4856997	4857752	0.575	0.406641	0.255937
chr1	4689836	4690300	0.787778	0.732917	0.259907
chr1	4988031	4988608	0.821	0.636875	0.486167
chr1	4760034	4760375	0.698571	0.613929	0.374405
chr1	5280451	5281716	0.679211	0.489737	0.346842
chr1	5775526	5776543	0.655455	0.478977	0.35447
chr1	5721069	5721588	0.727273	0.606477	0.399015
chr1	5724494	5725184	0.579286	0.440268	0.253452
chr1	5808429	5808572	0.68	0.533333	0.334259
chr1	6068479	6068613	0.781389	0.647778	0.410741
chr1	6097671	6097773	0.0369444	0.215417	0.511111
chr1	2461507	2461552	0.0546667	0.0473333	0.286167
chr1	2469178	2469949	0.666346	0.572308	0.23641
chr1	2473741	2474390	0.732222	0.699167	0.4
chr1	2490513	2490943	0.823889	0.664583	0.44287
chr1	6199399	6199592	0.653611	0.560417	0.312778
chr1	6620344	6620668	0.562727	0.416364	0.125985
chr1	2401304	2401639	0.6615	0.571	0.357167
chr1	2404895	2405256	0.742321	0.637321	0.418631
chr1	2422770	2424084	0.635489	0.602908	0.283134
chr1	2422770	2424084	0.635489	0.602908	0.283134
chr1	2424984	2425150	0.706364	0.585455	0.381061
chr1	2424984	2425150	0.706364	0.585455	0.381061
chr1	2424984	2425150	0.706364	0.585455	0.381061
chr1	2425851	2426313	0.701583	0.593917	0.132778
chr1	2425851	2426313	0.701583	0.593917	0.132778
chr1	2425851	2426313	0.701583	0.593917	0.132778
chr1	2426479	2426797	0.703	0.666083	0.206222
chr1	2426479	2426797	0.703	0.666083	0.206222
chr1	2428299	2428741	0.598594	0.615859	0.190417
chr1	2428967	2429266	0.803229	0.701198	0.169097
chr1	4718516	4718577	0.439464	0.564911	0.721548
chr1	6514115	6514387	0.303883	0.499441	0.537624
chr1	6514903	6515103	0.215	0.512039	0.547719
chr1	2437019	2437247	0.605526	0.552171	0.213026
chr1	2441135	2441331	0.809583	0.705486	0.453657
chr1	6805149	6805639	0.340833	0.506667	0.642222
chr1	6827895	6828680	0.700833	0.623333	0.230278
chr1	6830415	6831000	0.622708	0.661458	0.218889
chr1	6921172	6922116	0.283636	0.652386	0.711742
chr1	6992189	6992673	0.779167	0.552083	0.426111
chr1	6998580	6998972	0.7975	0.660278	0.447778
chr1	3691244	3691850	0.741154	0.659135	0.340833
chr1	3692379	3692496	0.458056	0.355417	0.0703704
chr1	3694820	3695385	0.816607	0.651339	0.23006
chr1	3700365	3700890	0.912333	0.780042	0.319833
chr1	3701941	3702208	0.685833	0.576528	0.176296
chr1	3703860	3704572	0.413687	0.562281	0.770562
chr1	6239595	6239664	0.108026	0.329671	0.343509
chr1	6242862	6243366	0.748167	0.66675	0.299556
chr1	7130045	7130188	0.2701	0.41425	0.5077
chr1	7017762	7018278	0.706136	0.611023	0.381742
chr1	7166637	7166796	0.499722	0.589306	0.108981
chr1	7173068	7173334	0.586944	0.403889	0.262963
chr1	7400478	7401544	0.616389	0.502778	0.283519
chr1	7426464	7427525	0.7061	0.62575	0.1846
chr1	7426464	7427525	0.7061	0.62575	0.1846
chr1	7438312	7439065	0.712045	0.601932	0.205303
chr1	7067901	7068188	0.694444	0.526389	0.293333
chr1	7070231	7071031	0.575435	0.427174	0.250435
chr1	7070231	7071031	0.575435	0.427174	0.250435
chr1	7072164	7072329	0.721944	0.551389	0.358241
chr1	7072164	7072329	0.721944	0.551389	0.358241
chr1	3137003	3137353	0.774107	0.651071	0.346012
chr1	3164113	3164331	0.229	0.42575	0.515067
chr1	3164383	3164766	0.274778	0.429111	0.556426
chr1	7465727	7467093	0.629732	0.549911	0.193571
chr1	7467118	7467391	0.7995	0.629167	0.117833
chr1	7544804	7544956	0.761964	0.667857	0.3025
chr1	7507277	7507767	0.764375	0.634375	0.238681
chr1	7510640	7510708	0.874722	0.737917	0.272037
chr1	7512405	7512830	0.801042	0.736771	0.452361
chr1	7655885	7656703	0.563125	0.421875	0.241597
chr1	7707964	7708738	0.674167	0.477812	0.366111
chr1	6634811	6635045	0.7965	0.745083	0.451778
chr1	7695795	7696393	0.708889	0.571944	0.39287
chr1	7697185	7697407	0.632727	0.507159	0.321515
chr1	7844403	7844776	0.181667	0.375962	0.488376
chr1	7952025	7952119	0.53	0.348472	0.188889
chr1	5916628	5916809	0.315833	0.475556	0.599167
chr1	5925367	5925501	0.324722	0.466806	0.592315
chr1	7296139	7296294	0.156667	0.31875	0.457407
chr1	8053879	8054071	0.311184	0.893947	0.695439
chr1	8112437	8112524	0.286389	0.732361	0.563704
chr1	7985101	7985324	0.716667	0.637222	0.370833
chr1	7520207	7520477	0.831125	0.70725	0.339667
chr1	7535317	7535575	0.766389	0.693333	0.465093
chr1	7539025	7539397	0.5875	0.415486	0.21162
chr1	8181109	8181386	0.107708	0.352708	0.387292
chr1	7763868	7764330	0.130625	0.444781	0.568125
chr1	7764333	7764519	0.0195968	0.402782	0.347151
chr1	7764996	7765595	0.0438971	0.349191	0.434951
chr1	7765600	7765892	0.116094	0.377526	0.392639
chr1	8086617	8086838	0.179865	0.427399	0.619054
chr1	8086617	8086838	0.179865	0.427399	0.619054
chr1	8438596	8439112	0.878636	0.753295	0.569167
chr1	8440422	8440688	0.683889	0.656111	0.253426
chr1	8517808	8518166	0.770278	0.78125	0.343333
chr1	8426360	8426676	0.624545	0.533977	0.190152
chr1	8555156	8555592	0.758056	0.714167	0.334352
chr1	8592722	8593496	0.470833	0.450278	0.12463
chr1	8277213	8277310	0.088125	0.290729	0.31625
chr1	8277320	8277704	0.0982792	0.336494	0.39789
chr1	8281350	8281630	0.753889	0.551667	0.425093
chr1	8605178	8605424	0.384167	0.537361	0.711667
chr1	8486342	8487102	0.84	0.80375	0.303929
chr1	8486342	8487102	0.84	0.80375	0.303929
chr1	8488722	8489936	0.57	0.634167	0.224722
chr1	8488722	8489936	0.57	0.634167	0.224722
chr1	8498122	8498794	0.880625	0.801146	0.450972
chr1	8499404	8500060	0.803056	0.679861	0.429259
chr1	8572650	8574308	0.89	0.7675	0.567465
chr1	8572650	8574308	0.89	0.7675	0.567465
chr1	8575156	8575564	0.691	0.602125	0.1075
chr1	8430538	8430796	0.915455	0.838977	0.557273
chr1	6686727	6687494	0.352391	0.498804	0.62442
chr1	8931338	8931756	0.428889	0.606389	0.68537
chr1	8933248	8933934	0.40875	0.3785	0.70525
chr1	8959630	8959936	0.41975	0.473812	0.690458
chr1	8927178	8927328	0.35625	0.505982	0.779167
chr1	8373517	8373864	0.676389	0.54375	0.278704
chr1	9049358	9049592	0.850769	0.727981	0.460321
chr1	8410858	8411218	0.794844	0.633047	0.357969
chr1	9232496	9233070	0.676406	0.577344	0.352708
chr1	9357448	9358244	0.861111	0.659306	0.535926
chr1	9338386	9338730	0.815278	0.688333	0.418611
chr1	9121152	9122846	0.577375	0.540875	0.268542
chr1	9123900	9124046	0.772386	0.679261	0.370189
chr1	9124794	9125392	0.635469	0.516484	0.157135
chr1	9125526	9127912	0.859542	0.684896	0.196792
chr1	9127914	9128572	0.84425	0.74075	0.328125
chr1	9131132	9131342	0.763462	0.631731	0.426795
chr1	9136910	9137538	0.648036	0.588929	0.304762
chr1	9218074	9218242	0.777222	0.626111	0.369444
chr1	9227138	9227560	0.723269	0.617019	0.407244
chr1	9070440	9070636	0.838437	0.729688	0.413229
chr1	9625726	9625828	0.746944	0.687361	0.351204
chr1	7734177	7734441	0.706389	0.569306	0.304722
chr1	7738399	7738710	0.7825	0.670417	0.437963
chr1	7740893	7740949	0.0356944	0.174028	0.37125
chr1	7741777	7742501	0.743611	0.653889	0.400185
chr1	7747486	7747846	0.7035	0.5245	0.378833
chr1	6522097	6522492	0.816	0.613333	0.486944
chr1	6524734	6525502	0.768571	0.526071	0.42744
chr1	8388355	8388538	0.834531	0.822734	0.517448
chr1	9741534	9741720	0.748	0.611625	0.237917
chr1	9741534	9741720	0.748	0.611625	0.237917
chr1	9730030	9730940	0.475625	0.577187	0.807396
chr1	9734116	9734370	0.148636	0.434205	0.605
chr1	9252944	9253442	0.509722	0.257083	0.165278
chr1	9259876	9260234	0.705278	0.603889	0.360741
chr1	9260348	9260676	0.393611	0.524444	0.618611
chr1	9715976	9716194	0.145833	0.249306	0.6425
chr1	9715976	9716194	0.145833	0.249306	0.6425
chr1	9837030	9837442	0.863611	0.752361	0.50213
chr1	9864732	9865074	0.871389	0.783542	0.404676
chr1	9871644	9873466	0.880833	0.782583	0.493278
chr1	9856722	9857560	0.8775	0.837083	0.501852
chr1	9858414	9859172	0.885385	0.816731	0.408974
chr1	9874796	9875888	0.806471	0.679926	0.383725
chr1	9880222	9881472	0.84121	0.814435	0.222957
chr1	9243894	9244438	0.708611	0.598889	0.305556
chr1	9868750	9870632	0.75053	0.727879	0.368636
chr1	9598984	9599184	0.680833	0.628194	0.299352
chr1	9896424	9897072	0.640833	0.58825	0.278667
chr1	9310248	9310376	0.790312	0.645938	0.401146
chr1	9842996	9843348	0.234808	0.467019	0.731154
chr1	9845220	9846900	0.779338	0.611029	0.276863
chr1	9848664	9849898	0.866538	0.787756	0.510427
chr1	9853708	9854724	0.806111	0.772639	0.407191
chr1	9902664	9903034	0.772222	0.697778	0.41287
chr1	9903590	9904218	0.7775	0.60375	0.235185
chr1	9908446	9909790	0.777727	0.702841	0.154962
chr1	9908446	9909790	0.777727	0.702841	0.154962
chr1	9911342	9912510	0.843229	0.772396	0.318785
chr1	6478940	6479232	0.208269	0.420929	0.464904
chr1	6480483	6480595	0.128929	0.295119	0.393452
chr1	6488856	6489705	0.640417	0.509479	0.3075
chr1	6501017	6501081	0.19375	0.348077	0.447372
chr1	10057360	10057414	0.0986111	0.375278	0.442222
chr1	10057448	10057804	0.106888	0.357985	0.499201
chr1	10057810	10058208	0.233529	0.481544	0.724265
chr1	9395924	9396228	0.865	0.7675	0.531354
chr1	9397218	9397762	0.831389	0.684722	0.510093
chr1	9397956	9398834	0.696833	0.540917	0.363
chr1	9402228	9402344	0.853438	0.778594	0.480313
chr1	9406132	9407270	0.690714	0.495937	0.229196
chr1	9920922	9921714	0.753043	0.583587	0.218877
chr1	9922662	9924362	0.80962	0.696739	0.384583
chr1	9925424	9926848	0.741957	0.708261	0.371884
chr1	10233770	10233948	0.383611	0.724583	0.801296
chr1	10309160	10309832	0.821111	0.791667	0.458704
chr1	9964318	9965142	0.3155	0.652	0.680417
chr1	9888228	9888936	0.824167	0.66625	0.451019
chr1	9932288	9932826	0.843462	0.736442	0.526474
chr1	9937076	9938184	0.812596	0.658606	0.422596
chr1	9943274	9944006	0.857222	0.726389	0.508333
chr1	10615554	10616708	0.324276	0.532566	0.820395
chr1	10654796	10654882	0.282222	0.558056	0.71463
chr1	10570720	10571126	0.133125	0.105729	0.588194
chr1	9364952	9365564	0.813056	0.670417	0.496111
chr1	9368700	9369152	0.805682	0.635682	0.459924
chr1	9371824	9372368	0.850313	0.734922	0.50276
chr1	9378300	9378378	0.621667	0.508056	0.258148
chr1	9381598	9382346	0.797895	0.662895	0.419605
chr1	9389860	9390254	0.893889	0.812222	0.5425
chr1	10504978	10505374	0.508437	0.514844	0.745208
chr1	10504978	10505374	0.508437	0.514844	0.745208
chr1	10228876	10230568	0.38381	0.600774	0.698333
chr1	10761856	10762028	0.751562	0.560937	0.424583
chr1	10764828	10764888	0.497727	0.554205	0.767045
chr1	10523562	10523666	0.737222	0.570139	0.17037
chr1	10524220	10524400	0.713056	0.578333	0.222593
chr1	6387029	6387236	0.590556	0.473194	0.264907
chr1	6431843	6432168	0.745556	0.674028	0.36963
chr1	10949046	10949206	0.269	0.474	0.5495
chr1	10807602	10808022	0.628056	0.480139	0.29
chr1	10962972	10963240	0.833438	0.707187	0.474375
chr1	10711814	10712200	0.81775	0.757188	0.462417
chr1	10712778	10713494	0.877941	0.809338	0.543775
chr1	10718812	10718976	0.82675	0.789875	0.395
chr1	10729850	10730322	0.77	0.694861	0.415278
chr1	10731914	10732116	0.7245	0.737625	0.436083
chr1	10782108	10782332	0.730441	0.624118	0.293186
chr1	11133292	11133348	0.2325	0.443611	0.626204
chr1	10994370	10994754	0.563889	0.523889	0.170278
chr1	11312414	11313036	0.5875	0.891667	0.865
chr1	9774744	9775128	0.750278	0.695139	0.241111
chr1	9775652	9775848	0.89625	0.639712	0.484647
chr1	9775856	9775998	0.753333	0.554107	0.185952
chr1	9776058	9777220	0.741562	0.539219	0.392232
chr1	9778058	9778738	0.605	0.487917	0.266667
chr1	9781716	9781856	0.529583	0.292153	0.157315
chr1	9787150	9787420	0.77	0.547153	0.436759
chr1	9788716	9788838	0.575833	0.369333	0.807333
chr1	9792068	9792412	0.393889	0.450833	0.718981
chr1	9792806	9792878	0.501111	0.730139	0.90537
chr1	9795720	9795968	0.331667	0.554167	0.777778
chr1	10816532	10816636	0.747188	0.615781	0.341875
chr1	10822714	10822970	0.821111	0.553472	0.509537
chr1	10698824	10699308	0.324725	0.602947	0.605635
chr1	10703594	10703818	0.713333	0.670278	0.203519
chr1	10733732	10733938	0.863056	0.847361	0.518611
chr1	10744880	10746138	0.8282	0.7581	0.499767
chr1	11418642	11419466	0.738611	0.543889	0.430093
chr1	11420384	11421014	0.603864	0.452727	0.280455
chr1	11539918	11540342	0.129939	0.359756	0.362317
chr1	11872880	11873748	0.82775	0.82625	0.523333
chr1	11798878	11799482	0.6195	0.533667	0.311444
chr1	10675438	10675624	0.326429	0.661875	0.847321
chr1	10675438	10675624	0.326429	0.661875	0.847321
chr1	10694876	10695036	0.592778	0.484722	0.287315
chr1	11769122	11769348	0.523182	0.335227	0.181136
chr1	11958914	11958954	0.464063	0.536875	0.721563
chr1	11900984	11901738	0.681087	0.62788	0.284746
chr1	11900984	11901738	0.681087	0.62788	0.284746
chr1	11902730	11903258	0.675833	0.673472	0.338426
chr1	11902730	11903258	0.675833	0.673472	0.338426
chr1	11911100	11911542	0.63875	0.449583	0.229167
chr1	11837940	11838256	0.733125	0.636771	0.384861
chr1	11837940	11838256	0.733125	0.636771	0.384861
chr1	11843976	11844502	0.8301	0.7459	0.3873
chr1	11017430	11017504	0.684722	0.573472	0.370741
chr1	12148292	12148506	0.218889	0.460556	0.61412
chr1	12124118	12124624	0.0493056	0.132708	0.312176
chr1	12111386	12112064	0.168056	0.274861	0.442963
chr1	12112432	12113480	0.5225	0.661875	0.79463
